iter	Passed	Remaining
309	1313	2923
310	1316	2917
311	1320	2911
312	1324	2907
313	1328	2902
314	1332	2897
315	1335	2891
316	1340	2889
317	1345	2886
318	1349	2880
319	1353	2875
320	1357	2871
321	1361	2867
322	1365	2861
323	1368	2855
324	1372	2850
325	1377	2847
326	1380	2842
327	1384	2836
328	1388	2831
329	1394	2830
330	1398	2827
331	1402	2821
332	1406	2817
333	1410	2813
334	1414	2807
335	1417	2801
336	1422	2797
337	1426	2794
338	1430	2788
339	1433	2782
340	1438	2779
341	1442	2776
342	1446	2770
343	1449	2764
344	1453	2759
345	1458	2756
346	1461	2750
347	1465	2744
348	1468	2739
349	1473	2736
350	1477	2731
351	1480	2725
352	1484	2721
353	1489	2717
354	1493	2713
355	1496	2707
356	1500	2702
357	1504	2697
358	1509	2694
359	1512	2689
360	1515	2683
361	1519	2678
362	1526	2678
363	1530	2673
364	1534	2669
365	1539	2666
366	1542	2660
367	1546	2655
368	1549	2649
369	1554	2646
370	1558	2642
371	1561	2636
372	1565	2631
373	1570	2628
374	1574	2624
375	1577	2618
376	1581	2613
377	1586	2609
378	1590	2605
379	1593	2600
380	1597	2594
381	1601	2591
382	1606	2587
383	1609	2582
384	1613	2577
385	1617	2573
386	1622	2569
387	1625	2564
388	1629	2558
389	1633	2554
390	1637	2550
391	1640	2544
392	1644	2539
393	1648	2534
394	1655	2535
395	1659	2531
396	1663	2526
397	1668	2523
398	1672	2519
399	1676	2515
400	1680	2510
401	1685	2506
402	1688	2501
403	1692	2496
404	1696	2491
405	1700	2488
406	1704	2483
407	1708	2478
408	1711	2473
409	1716	2469
410	1720	2465
411	1723	2459
412	1726	2454
413	1731	2451
414	1736	2447
415	1739	2442
416	1742	2436
417	1747	2432
418	1752	2429
419	1755	2424
420	1759	2419
421	1764	2416
422	1768	2412
423	1772	2407
424	1775	2402
425	1779	2398
426	1785	2396
427	1790	2392
428	1794	2388
429	1799	2385
430	1803	2381
431	1807	2376
432	1811	2371
433	1816	2368
434	1820	2364
435	1823	2358
436	1828	2355
437	1832	2351
438	1836	2346
439	1839	2341
440	1843	2336
441	1848	2333
442	1852	2328
443	1855	2323
444	1859	2319
445	1864	2315
446	1867	2310
447	1871	2305
448	1874	2300
449	1879	2297
450	1883	2293
451	1887	2287
452	1890	2283
453	1895	2279
454	1899	2275
455	1902	2269
456	1906	2265
457	1912	2262
458	1917	2259
459	1920	2254
460	1924	2250
461	1929	2246
462	1933	2241
463	1936	2236
464	1940	2232
465	1944	2228
466	1948	2224
467	1952	2219
468	1955	2214
469	1960	2210
470	1964	2206
471	1967	2201
472	1971	2196
473	1975	2192
474	1980	2188
475	1983	2183
476	1986	2178
477	1991	2174
478	1995	2170
479	1998	2165
480	2002	2160
481	2006	2156
482	2010	2152
483	2014	2147
484	2018	2142
485	2022	2138
486	2026	2134
487	2030	2130
488	2033	2125
489	2038	2121
490	2044	2119
491	2049	2116
492	2053	2112
493	2059	2109
494	2063	2104
495	2066	2099
496	2070	2095
497	2075	2092
498	2079	2087
499	2083	2083
500	2088	2080
501	2094	2077
502	2097	2072
503	2101	2068
504	2106	2064
505	2110	2060
506	2114	2056
507	2118	2051
508	2122	2047
509	2127	2043
510	2130	2039
511	2134	2034
512	2139	2030
513	2143	2026
514	2147	2021
515	2150	2017
516	2154	2013
517	2160	2009
518	2163	2005
519	2170	2003
520	2179	2003
521	2187	2003
522	2193	2000
523	2196	1995
524	2201	1991
525	2206	1988
526	2210	1984
527	2214	1979
528	2219	1976
529	2225	1973
530	2229	1969
531	2234	1965
532	2239	1962
533	2244	1958
534	2248	1953
535	2255	1952
536	2260	1949
537	2264	1944
538	2269	1941
539	2274	1937
540	2278	1932
541	2283	1929
542	2287	1925
543	2291	1920
544	2296	1917
545	2303	1915
546	2308	1911
547	2313	1908
548	2318	1904
549	2322	1900
550	2327	1896
551	2332	1892
552	2338	1890
553	2345	1887
554	2351	1885
555	2358	1883
556	2364	1880
557	2371	1878
558	2378	1876
559	2386	1875
560	2391	1871
561	2397	1868
562	2403	1865
563	2407	1861
564	2413	1858
565	2420	1855
566	2424	1851
567	2428	1847
568	2434	1844
569	2439	1840
570	2444	1836
571	2448	1832
572	2452	1827
573	2456	1822
574	2461	1819
575	2465	1815
576	2469	1810
577	2473	1805
578	2478	1802
579	2484	1798
580	2488	1794
581	2492	1790
582	2498	1787
583	2504	1783
584	2509	1779
585	2514	1776
586	2518	1772
587	2522	1767
588	2528	1764
589	2533	1760
590	2537	1756
591	2542	1752
592	2548	1748
593	2552	1744
594	2558	1741
595	2565	1738
596	2570	1735
597	2576	1731
598	2581	1728
599	2585	1723
600	2590	1719
601	2596	1716
602	2600	1712
603	2605	1707
604	2609	1703
605	2614	1699
606	2618	1695
607	2623	1691
608	2628	1687
609	2632	1682
610	2636	1678
611	2642	1675
612	2646	1671
613	2650	1666
614	2655	1662
615	2661	1659
616	2665	1654
617	2671	1651
618	2677	1648
619	2682	1643
620	2688	1640
621	2694	1637
622	2700	1634
623	2705	1630
624	2710	1626
625	2714	1621
626	2719	1617
627	2726	1614
628	2731	1610
629	2736	1606
630	2741	1603
631	2745	1598
632	2749	1594
633	2754	1589
634	2760	1586
635	2764	1582
636	2769	1578
637	2775	1574
638	2780	1570
639	2784	1566
640	2790	1562
641	2794	1558
642	2799	1554
643	2805	1550
644	2809	1546
645	2816	1543
646	2824	1541
647	2831	1537
648	2837	1534
649	2842	1530
650	2847	1526
651	2854	1523
652	2858	1519
653	2863	1514
654	2869	1511
655	2874	1507
656	2878	1502
657	2883	1498
658	2889	1495
659	2894	1491
660	2899	1487
661	2904	1483
662	2908	1478
663	2913	1474
664	2918	1470
665	2922	1465
666	2927	1461
667	2933	1457
668	2938	1454
669	2943	1449
670	2950	1446
671	2957	1443
672	2963	1439
673	2969	1436
674	2973	1431
675	2979	1428
676	2986	1424
677	2991	1420
678	2998	1417
679	3005	1414
680	3011	1410
681	3018	1407
682	3022	1402
683	3028	1399
684	3034	1395
685	3039	1391
686	3044	1387
687	3051	1383
688	3055	1379
689	3062	1375
690	3068	1372
691	3073	1367
692	3078	1363
693	3087	1361
694	3094	1357
695	3100	1354
696	3104	1349
697	3109	1345
698	3114	1341
699	3119	1336
700	3125	1332
701	3131	1329
702	3135	1324
703	3140	1320
704	3146	1316
705	3151	1312
706	3154	1307
707	3159	1303
708	3165	1299
709	3169	1294
710	3173	1290
711	3178	1285
712	3182	1281
713	3186	1276
714	3191	1272
715	3196	1267
716	3199	1262
717	3204	1258
718	3211	1255
719	3216	1251
720	3221	1246
721	3226	1242
722	3231	1238
723	3235	1233
724	3240	1229
725	3245	1224
726	3248	1219
727	3252	1215
728	3258	1211
729	3262	1206
730	3266	1201
731	3270	1197
732	3275	1193
733	3279	1188
734	3283	1183
735	3288	1179
736	3293	1175
737	3296	1170
738	3300	1165
739	3305	1161
740	3310	1156
741	3313	1152
742	3317	1147
743	3322	1143
744	3326	1138
745	3330	1134
746	3335	1129
747	3342	1126
748	3347	1121
749	3352	1117
750	3358	1113
751	3362	1108
752	3368	1104
753	3373	1100
754	3378	1096
755	3383	1091
756	3389	1088
757	3394	1083
758	3399	1079
759	3405	1075
760	3409	1070
761	3415	1066
762	3420	1062
763	3425	1058
764	3430	1053
765	3435	1049
766	3440	1045
767	3444	1040
768	3448	1035
769	3453	1031
770	3457	1026
771	3461	1022
772	3467	1018
773	3474	1014
774	3479	1010
775	3484	1005
776	3489	1001
777	3493	996
778	3498	992
779	3503	988
780	3507	983
781	3512	979
782	3517	974
783	3521	970
784	3525	965
785	3531	961
786	3536	957
787	3540	952
788	3545	948
789	3550	943
790	3554	939
791	3558	934
792	3563	930
793	3569	926
794	3573	921
795	3577	916
796	3583	912
797	3587	908
798	3591	903
799	3597	899
800	3602	895
801	3607	890
802	3611	886
803	3616	881
804	3621	877
805	3626	872
806	3632	868
807	3636	864
808	3640	859
809	3645	855
810	3649	850
811	3653	845
812	3658	841
813	3663	837
814	3668	832
815	3671	827
816	3676	823
817	3682	819
818	3685	814
819	3689	809
820	3694	805
821	3698	800
822	3702	796
823	3706	791
824	3710	787
825	3715	782
826	3718	777
827	3722	773
828	3729	769
829	3734	764
830	3738	760
831	3742	755
832	3748	751
833	3751	746
834	3756	742
835	3761	737
836	3765	733
837	3768	728
838	3773	724
839	3777	719
840	3781	714
841	3785	710
842	3790	705
843	3795	701
844	3798	696
845	3804	692
846	3810	688
847	3813	683
848	3818	679
849	3824	674
850	3829	670
851	3833	665
852	3838	661
853	3843	657
854	3847	652
855	3851	647
856	3858	643
857	3864	639
858	3869	635
859	3875	630
860	3879	626
861	3884	621
862	3888	617
863	3893	612
864	3897	608
865	3902	603
866	3907	599
867	3912	594
868	3916	590
869	3920	585
870	3925	581
871	3929	576
872	3933	572
873	3938	567
874	3942	563
875	3946	558
876	3950	554
877	3955	549
878	3959	545
879	3962	540
880	3967	535
881	3971	531
882	3975	526
883	3979	522
884	3983	517
885	3989	513
886	3994	508
887	3998	504
888	4002	499
889	4007	495
890	4010	490
891	4014	486
892	4018	481
893	4023	477
894	4026	472
895	4029	467
896	4034	463
897	4038	458
898	4042	454
899	4046	449
900	4050	445
901	4055	440
902	4058	436
903	4063	431
904	4067	427
905	4072	422
906	4076	417
907	4080	413
908	4085	408
909	4089	404
910	4092	399
911	4096	395
912	4100	390
913	4104	386
914	4108	381
915	4112	377
916	4118	372
917	4123	368
918	4127	363
919	4132	359
920	4136	354
921	4140	350
922	4144	345
923	4148	341
924	4153	336
925	4156	332
926	4160	327
927	4165	323
928	4169	318
929	4173	314
930	4177	309
931	4182	305
932	4186	300
933	4189	296
934	4193	291
935	4198	287
936	4202	282
937	4206	278
938	4210	273
939	4215	269
940	4219	264
941	4223	260
942	4227	255
943	4232	251
944	4235	246
945	4239	241
946	4244	237
947	4250	233
948	4255	228
949	4259	224
950	4264	219
951	4268	215
952	4272	210
953	4277	206
954	4281	201
955	4285	197
956	4289	192
957	4293	188
958	4297	183
959	4301	179
960	4305	174
961	4309	170
962	4314	165
963	4317	161
964	4321	156
965	4326	152
966	4331	147
967	4334	143
968	4338	138
969	4343	134
970	4348	129
971	4352	125
972	4356	120
973	4361	116
974	4364	111
975	4368	107
976	4372	102
977	4379	98
978	4384	94
979	4388	89
980	4393	85
981	4398	80
982	4401	76
983	4406	71
984	4410	67
985	4414	62
986	4418	58
987	4422	53
988	4427	49
989	4431	44
990	4434	40
991	4439	35
992	4444	31
993	4447	26
994	4451	22
995	4456	17
996	4460	13
997	4464	8
998	4467	4
999	4471	0
